syracuse#n. 锡拉库扎（意大利西西里岛东部一港市）
n. (Wit)人名；(泰)威；(英、德、波)威特
v. 知道；即


poultry#n. 家禽
家禽肉


virtue#n. 美德；优点；贞操；功效
n. (Virtue)人名；(英)弗丘


burst#vi. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
n. 爆发，突发；爆炸
n. (Burst)人名；(德、罗)布尔斯特


examinations#n. 考试；检查；审核（examination的复数）


surgeons#外科医生


bouquet#n. 花束；酒香
n. (Bouquet)人名；(英、法)布凯


immunology#n. [免疫] 免疫学


promotes#促进
提升


mandate#n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管


wiley#威利（姓氏）


departmental#adj. 部门的；各县的；分科的


bbs#abbr. 电子布告栏（Bulletin Board System）


spas#n. (Spas)人名；(俄、塞、保)斯帕斯


ind#abbr. 印第安纳州；印度


corpus#n. [计] 语料库；文集；本金
n. (Corpus)人名；(西)科尔普斯


johnston#n. 约翰斯顿（姓氏）


terminology#n. 术语，术语学；用辞


gentleman#n. 先生；绅士；有身份的人


fibre#n. 纤维；纤维制品


reproduce#vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖


convicted#adj. 证明有罪的；已被判刑的
v. 定罪（convict的过去分词）；证明…有罪


shades#n. 墨镜；阴魂咒法术，制造幽影（shade复数）


jets#n. 喷气机（jet的复数形式）；喷射机队
v. [流] 喷射（jet的三单形式）；射出，迸出
n. (Jets)人名；(匈)耶奇；(俄)叶茨


indices#n. 指数；目录（index的复数）


roommates#n. 室友（roommate的复数形式）


adware#n. 广告软件；广告程序


qui#abbr. 定量超声指数（Quantitative Ultrasound Index）；门控；速度
n. (Qui)人名；(柬)基


intl#abbr. 国际的（international）


threatening#adj. 危险的；胁迫的；凶兆的
v. 威胁；恐吓；迫近（threaten的ing形式）


spokesman#n. 发言人；代言人


zoloft#n. 左洛复（药物名）


activists#n. 积极分子（activist的复数）；活动分子


frankfurt#n. 法兰克福市（德国城市）


prisoner#n. 囚犯，犯人；俘虏；刑事被告


daisy#n. 雏菊；菊科植物；极好的东西
adj. 极好的；上等的


halifax#哈里法克斯（财富500强公司之一，总部所在地英国；主要经营银行）
n. 哈利法克斯港或哈利法克斯市


encourages#鼓励
激励
受到鼓舞的
鼓舞


ultram#盐酸曲马多片剂（镇痛药）
n. (Ultram)人名；(西)乌尔特拉姆


cursor#n. 光标；（计算尺的）[计] 游标，指针


assembled#v. 装配（assemble的过去分词）；集合
adj. 组合的；安装的


earliest#adj. 早的；初期的
n. 最早


donated#adj. 捐赠的
v. 捐赠（donate的过去分词形式）


stuffed#已经喂饱了的；塞满了的


restructuring#n. 调整；改组；重建
v. 重组（restructure的现在分词形式）


insects#n. [昆] 昆虫；昆虫类，昆虫纲（insect的复数形式）


terminals#n. [计] 终端；终端机；[电] 接线端子；终止节点（terminal的复数）


crude#adj. 粗糙的；天然的，未加工的；粗鲁的
n. 原油；天然的物质


morrison#n. 莫里森（姓氏）


maiden#adj. 未婚的，处女的；初次的
n. 少女；处女
n. (Maiden)人名；(日)每田(姓)


simulations#n. [计] 模拟（simulation的复数）；[计] 仿真


sufficiently#adv. 充分地；足够地


examines#考试
审查
诊察
仔细检查


viking#n. 北欧海盗


myrtle#n. 桃金娘；桃金娘科植物
adj. 桃金娘科的


bored#adj. 无聊的；无趣的；烦人的
v. 使厌烦（bore的过去式）；烦扰


cleanup#n. 清除；暴利；清扫工作；第四防守位置
adj. 第四位击球员的


yarn#n. 纱线；奇谈，故事
vt. 用纱线缠
vi. 讲故事


knit#vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法


conditional#adj. 有条件的；假定的
n. 条件句；条件语


mug#n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫


crossword#n. 纵横字谜；纵横填字谜（等于cross puzzle）


bother#vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼
n. 麻烦；烦恼


budapest#n. 布达佩斯（匈牙利的首都）


conceptual#adj. 概念上的


knitting#n. 针织；编织物；[外科] 骨愈合
v. 编织；皱眉（knit的ing形式）


attacked#v. [军] 攻击；侵害（attack的过去分词）


bhutan#n. 不丹（印度东北一国家）


liechtenstein#n. 列支敦斯登（欧洲）


mating#n. （动物等的）交配，交尾；配套；（植物等的）杂交
v. 交配；使配对；使紧密配合（mate的现在分词）


compute#vt. 计算；估算；用计算机计算
vi. 计算；估算；推断
n. 计算；估计；推断


redhead#n. 红色头发的人
n. (Redhead)人名；(英、西)雷德黑德


arrives#vi. 到达；成功；达成；出生
n. (Arrive)人名；(法)阿里夫


translator#n. 译者；翻译器


automobiles#n. [车辆] 汽车，发动器（automobile复数）；关于汽车


tractor#n. 拖拉机；牵引机


allah#n. 真主；阿拉


continent#n. 大陆，洲，陆地
adj. 自制的，克制的


unwrap#vt. 打开


fares#n. 票价；[交] 车费（fare的复数）；照明弹
v. 发生；进食；经历（fare的三单形式）
n. (Fares)人名；(阿拉伯)法里斯；(意)法雷斯


longitude#n. [地理] 经度；经线


resist#vi. 抵抗，抗拒；忍耐
vt. 抵抗；忍耐，忍住
n. [助剂] 抗蚀剂；防染剂


challenged#adj. 受到挑战的


telecharger#

hoped#v. 希望（hope的过去分词）


pike#n. 通行费；矛；梭子鱼；尖头；收费道路
vt. 用矛刺穿
n. (Pike)人名；(德)皮克；(英)派克


safer#adj. 更安全（safe的比较级）
n. (Safer)人名；(英)塞弗


insertion#n. 插入；嵌入；插入物


instrumentation#n. 使用仪器；乐器法；仪表化


ids#abbr. 标识部分（Identification Section）


hugo#n. 雨果（男子名，等于Hugh）


wagner#n. 瓦格纳（姓氏）；瓦格纳（德国歌剧家，作曲家）


constraint#n. [数] 约束；局促，态度不自然；强制


groundwater#n. 地下水
n. (Groundwater)人名；(英)格朗德沃特


touched#adj. 受感动的；神经兮兮的
v. 触摸（touch的过去式和过去分词）


strengthening#v. 强化；加固（strengthen的ing形式）
n. 加强；加固；加固件


cologne#n. 古龙香水


gzip#压缩程序


wishing#n. 期盼着，希望；愿望
v. 希望；想要（wish的ing形式）


ranger#n. 突击队员；漫游者；骑警；别动队员
n. (Ranger)人名；(英)兰杰；(法)朗热


smallest#adj. 最小的（small的最高级）


insulation#n. 绝缘；隔离，孤立


newman#n. 纽曼（男子名）


marsh#n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的
n. (Marsh)人名；(俄)马尔什；(英、瑞典)马什


ricky#n. 里基（男子名，等于Rick，Rickie）


ctrl#n. 计算机的Ctrl按键（控制键）


scared#adj. 害怕的
v. 使害怕（scare的过去分词）


theta#n. 希腊字母的第八字；时间递耗值


infringement#n. 侵犯；违反


bent#n. 爱好，嗜好
adj. 弯曲的；决心的
n. (Bent)人名；(英、西、丹、挪、印)本特


laos#n. 老挝


subjective#

monsters#n. 怪物；怪兽；妖怪（monster的复数形式）


asylum#n. 庇护；收容所，救济院


lightbox#n. 光箱特效；航行识别灯控制箱


robbie#n. 罗比（男子名）


stake#n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌
n. (Stake)人名；(瑞典)斯塔克


cocktail#n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的


outlets#n. 出路；销售点；排水口；电源插座；批发商点（outlet的复数形式）


swaziland#n. 斯威士兰（非洲东南部国家）


varieties#n. 品种；种类（variety的复数）；变种


arbor#n. [植] 乔木；凉亭；藤架
n. (Arbor)人名；(英)阿伯


mediawiki#

configurations#n. 配置（configuration的复数）；立体基阵


poison#vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒
n. 毒药，毒物；酒；有毒害的事物；[助剂] 抑制剂；(Poison)人名；(西)波伊松


