nike#n. 耐克（国际著名运动产品公司）；胜利女神；[军][航] 奈克导弹（地对空导弹的一种）


intervention#n. 介入；调停；妨碍
compilation#n. 编译；编辑；汇编


verification#n. 确认，查证；核实


fonts#n. 字体（font的复数）


ent#abbr. 耳鼻喉（科）（ear，nose，and throat）


odd#adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物
n. (Odd)人名；(英、西、挪、瑞典)奥德


wrap#vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣
n. 外套；围巾


refers#参考
查阅
归诸于
使…求助于（refer的第三人称单数）


mood#n. 情绪，语气；心境；气氛
n. (Mood)人名；(英)穆德；(瑞典)莫德


favor#vt. 较喜欢；像；优惠，偏袒；有利于；赐予；证实
n. 帮助；赞同；偏爱，喜爱


veterans#n. 老兵；退伍军人（veteran的复数形式）


quiz#n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验


sigma#n. 希腊文第十八个字母
n. (Sigma)人名；(英、瑞典)西格马


attractive#adj. 吸引人的；有魅力的；引人注目的


xhtml#abbr. 扩展超文本标识语言（The Extensible HyperText Markup Language）；结构层代码


occasion#n. 时机，机会；场合；理由
vt. 引起，惹起


recordings#n. 录音（recording的复数）；记录


jefferson#n. 杰弗逊（姓氏）


victim#n. 受害人；牺牲品；牺牲者


demands#n. [经] 需求（demand的复数）
v. [经] 需求（demand的第三人称单数形式）


sleeping#adj. 睡着的
n. 睡眠


careful#adj. 仔细的，小心的


ext#abbr. 提取（extract）；扩展（extension）；外部（exterior）；额外的（extra）
n. (Ext)人名；(德)埃克斯特


beam#n. 横梁；光线；电波；船宽；[计量] 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容
n. (Beam)人名；(阿拉伯)贝亚姆；(英)比姆


gardening#n. 园艺；园林工人的工作


obligations#n. [法] 义务；债务；承付款项（obligation的复数）


arrive#vi. 到达；成功；达成；出生
n. (Arrive)人名；(法)阿里夫


orchestra#n. 管弦乐队；乐队演奏处


sunset#n. 日落，傍晚


tracked#adj. 有履带的
v. [计][电子] 跟踪，追踪（track的过去式）


moreover#adv. 而且；此外


minimal#adj. 最低的；最小限度的


polyphonic#adj. 多音的；有韵律变化的；对位法的


lottery#n. 彩票；碰运气的事，难算计的事；抽彩给奖法


tops#adj. 第一流的，最上等的
n. 顶部，顶端（top的复数形式）
v. 达到…的顶端（top的第三人称单数形式）


framed#adj. 遭到陷害的；有构架的
v. 制定；建造；给…加外框（frame的过去分词）


aside#adv. 离开，撇开；在旁边
n. 旁白；私语，悄悄话；离题的话
prep. 在…旁边


outsourcing#n. 外包；外购；外部采办


licence#n. 许可证，执照；特许
vt. 特许，许可；发给执照


adjustable#adj. 可调节的


allocation#n. 分配，配置；安置


michelle#n. 米歇尔（女子名）


essay#n. 散文；试图；随笔
vt. 尝试；对…做试验


discipline#n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒


amy#n. 艾米（女子名）


demonstrated#演示


dialogue#n. 对话；意见交换
vi. 对话
vt. 用对话表达


identifying#n. 识别，标识；标识关系
v. 识别（identify的现在分词）


alphabetical#adj. 字母的；[计] 依字母顺序的


camps#n. 露营，营地；野营房（camp复数）
v. 露营，扎营（camp的第三人称单数）
n. (Camps)人名；(法)康；(西、葡)坎普斯


declared#adj. 公然的；公开宣布的


dispatched#派遣
[计] 发送


aaron#n. 亚伦（男子名）；亚伦（摩西之兄，犹太教的第一祭司长）


handheld#adj. 掌上型；手持型


trace#vi. 追溯；沿路走
vt. 追踪，查探；描绘；回溯
n. 痕迹，踪迹；微量；[仪] 迹线；缰绳


disposal#n. 处理；支配；清理；安排


shut#vt. 关闭；停业；幽禁
vi. 关上；停止营业
n. 关闭
adj. 关闭的；围绕的
n. (Shut)人名；(俄)舒特；(中)室(广东话·威妥玛)


florists#n. 花匠；花商（florist的复数）


packs#n. 包裹；生存集群；资料袋（pack的复数）
v. [包装] 包装；塞满（pack的第三人称单数形式）


installing#n. 安装；插入；任命
v. 安装；安置（install的ing形式）；正式任命
adj. 安装的


switches#n. 开关；交换器（switch的复数形式）；控制增强型键盘及启动模式（DOS内部命令）
v. 转变（switch的三单形式）；鞭打


romania#n. 罗马尼亚（欧洲巴尔干半岛东北部国家）


voluntary#adj. 自愿的；志愿的；自发的；故意的
n. 志愿者；自愿行动


ncaa#abbr. （美国）全国大学生体育协会（National Collegiate Athletic Association）


thou#pron. 你；尔，汝（古时候的叫法）
n. (Thou)人名；(法、柬)图


consult#vt. 查阅；商量；向…请教
vi. 请教；商议；当顾问


phd#abbr. 哲学博士学位（Doctor of Philosophy）


greatly#adv. 很，大大地；非常


blogging#n. 博客；写网志
v. 写博客（blog的ing形式）


mask#n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊


cycling#n. 骑脚踏车消遣；骑脚踏车兜风


midnight#n. 午夜，半夜12点钟
adj. 半夜的；漆黑的


commonly#adv. 一般地；通常地；普通地


photographer#n. 摄影师；照相师


inform#vt. 通知；告诉；报告
vi. 告发；告密


turkish#adj. 土耳其的；土耳其人的，土耳其语的；突厥诸语言的
n. 土耳其语


coal#vi. 上煤；加煤
vt. 给…加煤；把…烧成炭
n. 煤；煤块；木炭


cry#vt. 叫喊；哭出；大声说
n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊


messaging#n. 消息传送；通知；信息传送
v. 发送；报信（message的ing形式）


pentium#n. 美国英特尔公司生产的微处理器，中文译名为“奔腾”


quantum#n. 量子论；额（特指定额、定量）；美国昆腾公司（世界领先的硬盘生产商）


murray#n. 默里（男子名）；墨累河（澳大利亚东南部一条河流）


intent#n. 意图；目的；含义
adj. 专心的；急切的；坚决的


zoo#n. 动物园
n. (Zoo)人名；(朝)朱；(阿拉伯)祖


largely#adv. 主要地；大部分；大量地


pleasant#adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
n. (Pleasant)人名；(英)普莱曾特


announce#vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员


constructed#vt. 构造，建造；创立，构筑；搭建（construct的过去分词）


additions#n. 附加物（addition的复数）；附件；增加固定资产


requiring#vt. 需要；要求；命令


spoke#v. 说话（speak的过去式）；为…装轮辐；说；演说；从某种观点来说
n. （车轮的）辐条；轮辐；破坏某人的计划；阻挠某人的行动；刹车；扶梯棍


aka#abbr. 又叫做，亦称（also known as）
n. (Aka)人名；(法、塞、土、科特、阿富)阿卡


arrow#n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向
n. (Arrow)人名；(英)阿罗


engagement#n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）


sampling#n. 取样；抽样
v. 取样；抽样（sample的ing形式）


rough#adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
vi. 举止粗野
adv. 粗糙地；粗略地；粗暴地
n. (Rough)人名；(英)拉夫


weird#adj. 怪异的；不可思议的；超自然的
n. （苏格兰）命运；预言


tee#n. 球座；字母T；T形物
adj. T字形的
vt. 搁在球座上
vi. 放球于球座上


refinance#vt. 再供…资金；再为…筹钱


lion#n. 狮子；名人；勇猛的人；社交场合的名流
n. (Lion)人名；(西、葡)利昂；(德、法、意、捷、瑞典)利翁；(英)莱昂


inspired#adj. 有灵感的；官方授意的
v. 激发（inspire的过去分词）；鼓舞


holes#n. 小孔；破洞（hole的复数）
n. (Holes)人名；(匈)霍莱什


weddings#n. 婚礼（wedding的复数形式）


blade#n. 叶片；刀片，刀锋；剑


suddenly#adv. 突然地；忽然


oxygen#n. [化学] 氧气，[化学] 氧


cookie#n. 饼干；小甜点


meals#n. 膳食；谷类（meal的复数）
v. 进餐（meal的三单形式）


canyon#n. 峡谷


goto#vt. 转到
vi. 转到
n. (Goto)人名；(葡)戈托；(日)五斗 (姓)


meters#n. [计量] 米；[计量] 公尺（meter的复数形式）


merely#adv. 仅仅，只不过；只是


calendars#n. [天] 日历（calendar的复数）


arrangement#n. 布置；整理；准备


conclusions#n. 结论，总结；决定（conclusion的复数）


passes#v. 经过；传递（pass的三单形式）；超过；及格
n. 关口；执照；通路（pass的复数）


bibliography#n. 参考书目；文献目录


pointer#n. 指针；指示器；教鞭；暗示


compatibility#n. [计] 兼容性


stretch#vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
vi. 伸展；足够买（或支付）
n. 伸展，延伸
n. (Stretch)人名；(英)斯特雷奇


durham#n. 达拉谟（英格兰一郡及其首府名）；一种产自该地的有短角肉牛


furthermore#adv. 此外；而且


permits#许可
许可证


cooperative#adj. 合作的；合作社的
n. 合作社


muslim#n. 穆斯林；穆罕默德信徒
adj. 伊斯兰教的


neil#n. 尼尔（男子名）


sleeve#n. [机] 套筒，[机] 套管；袖子，[服装] 袖套
vt. 给……装袖子；给……装套筒


netscape#n. 美国网景公司


cleaner#n. [化工] 清洁剂；清洁工；干洗店；干洗商；洗洁器


cricket#n. 板球，板球运动；蟋蟀


beef#n. 牛肉；肌肉；食用牛；牢骚
vi. 抱怨，告发；发牢骚
vt. 养；加强


feeding#n. 饲养；吃；输送
adj. 供给饲料的；摄取食物的
v. 饲养（feed的ing形式）


stroke#n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘


township#n. 镇区；小镇


rankings#n. 排名；排行（ranking的复数）


measuring#n. 测量；衡量
v. 测量（measure的ing形式）
adj. 测量用的


cad#n. 无赖，下流人；下流男子，卑鄙的男人


hats#abbr. 转换终端应用程序（Host Access Transformation Services）


robin#n. 知更鸟
鸫


robinson#n. 罗宾逊（男子名）


jacksonville#n. 杰克逊维尔（美国佛罗里达州东北部港市）


strap#vt. 用带捆绑；用皮条抽打；约束
n. 带；皮带；磨刀皮带；鞭打
vi. 精力旺盛地工作；受束缚


headquarters#n. 总部；指挥部；司令部


sharon#n. 莎伦（女子名）


crowd#n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集


tcp#abbr. 传输控制协议（Transmission Control Protocol）；终端控制协议（Terminal Control Protocol）；技术合作计划（Technical Cooperation Programme）


transfers#n. [电子][计] 传输（tansfer的复数）；[动][心理] 迁移
v. [计] 转移；变换；调任（transfer的第三人称单数）


surf#n. 海浪，拍岸浪
vt. 在…冲浪
vi. 作冲浪运动
n. (Surf)人名；(英)瑟夫


olympic#adj. 奥林匹克的；奥林匹斯山的，奥林匹亚的


transformation#n. [遗] 转化；转换；改革；变形


remained#保持


attachments#n. [机] 附件；附着物；附属装置（attachment的复数形式）


dir#abbr. 目录（directory）；方向（direction）；用法（directione）；指示（direct）
n. (Dir)人名；(塞)迪尔


entities#n. 实体；存在（entity的复数形式）；字符实体


customs#n. 海关；风俗（custom的复数）；习惯；关税


administrators#n. [管理] 管理员；完全程序（administrator的复数形式）


personality#n. 个性；品格；名人


rainbow#n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状
n. (Rainbow)人名；(英)雷恩博


hook#n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状
n. (Hook)人名；(德、荷)霍克；(英)胡克


roulette#n. 轮盘赌；刻骑缝孔的点线机；（邮票的）骑缝孔；旋轮线
vt. 给…滚压骑线孔


decline#n. 下降；衰退；斜面
vi. 下降；衰落；谢绝
vt. 谢绝；婉拒


gloves#n. [服装] 手套（glove的复数）
v. 给…戴手套（glove的三单形式）


israeli#adj. 以色列的；以色列人的
n. 以色列人


medicare#n. （美、加）医疗保险（等于medicare）


cord#n. 绳索；束缚
vt. 用绳子捆绑
n. (Cord)人名；(法)科尔；(英)科德


skiing#n. 滑雪运动；滑雪术
v. 滑雪（ski的ing形式）


cloud#n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布
n. (Cloud)人名；(法)克卢；(英)克劳德


facilitate#vt. 促进；帮助；使容易


subscriber#n. 订户；签署者；捐献者


valve#n. 阀；[解剖] 瓣膜；真空管；活门
vt. 装阀于；以活门调节
n. (Valve)人名；(俄、芬)瓦尔韦


val#n. 十万牛顿每平米（英国压力单位）


hewlett#n. 休利特（姓氏）


explains#v. 解释；说明（explain的三单形式）


proceed#vi. 开始；继续进行；发生；行进
n. 收入，获利


flickr#n. 网络相簿


feelings#n. [生理] 感觉；[心理] 情感；意见（feeling的复数）


knife#n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过


jamaica#n. 牙买加（拉丁美洲一个国家）


priorities#优先顺序


shelf#n. 架子；搁板；搁板状物；暗礁


bookstore#n. 书店（等于bookshop）


timing#n. 定时；调速；时间选择
v. 为…安排时间；测定…的时间（time的ing形式）


liked#v. 喜欢（like的过去式）


parenting#n. 父母对子女的养育
v. 教养（parent的ing形式）；做…的父亲或母亲


adopt#vt. 采取；接受；收养；正式通过
vi. 采取；过继


denied#v. 拒绝；拒签（deny的过去式）


fotos#n. 德国著名摇滚乐队


incredible#adj. 难以置信的，惊人的；极好的


britney#n. 布兰妮（女歌手）


freeware#n. 免费软件；自由软件


donation#n. 捐款，捐赠物；捐赠


outer#adj. 外面的，外部的；远离中心的
n. 环外命中


crop#n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获


deaths#n. 死亡数


rivers#n. 里弗斯（人名）；河流州（尼日利亚州名）；河水钻


commonwealth#n. 联邦；共和国；国民整体


pharmaceutical#adj. 制药（学）的
n. 药物


manhattan#n. 曼哈顿岛（美国的一个区）


tales#n. 故事；候补陪审员召集令（用作单数）；补缺陪审员；谎言（tale的复数）


katrina#n. 卡特里娜（女子名）


workforce#n. 劳动力；工人总数，职工总数


islam#n. 伊斯兰教
n. (Islam)人名；(阿拉伯、巴基、孟)伊斯兰


nodes#n. 节点（node的复数形式）


thumbs#[解剖] 拇指


seeds#n. 种子；种子选手（seed的复数）；种子状物；子孙后代
v. 播种；取出…的核；催化（seed的第三人称单数）
n. (Seeds)人名；(英)西兹


cited#v. 引用（cite的过去分词）


lite#adj. 清淡的；低盐的；简化的
n. 不重要的事物；简化物；软饮料
n. (Lite)人名；(法、西)利特


ghz#abbr. 千兆赫（gigahertz）


hub#n. 中心；毂；木片
n. (Hub)人名；(捷)胡布


targeted#adj. 定向的；被定为攻击目标的
v. 把…作为目标（target的过去分词）


organizational#adj. 组织的；编制的


skype#n. 网络电话（一个网络语音沟通工具）


realized#adj. 实现的；已实现
vt. 实现（realize的过去式及过去分词）


twelve#n. 十二；十二个
num. 十二；十二个
adj. 十二的；十二个的


founder#vi. 失败；沉没；倒塌；变跛
vt. 破坏；使摔倒；垮掉
n. 创始人；建立者；翻沙工


decade#n. 十年，十年期；十


gamecube#

dispute#vt. 辩论；怀疑；阻止；抗拒
vi. 争论
n. 辩论；争吵


portuguese#adj. 葡萄牙的；葡萄牙人的；葡萄牙语的
n. 葡萄牙人；葡萄牙语


tired#adj. 疲倦的；厌倦的，厌烦的
v. 疲倦；对…腻烦（tire的过去分词形式）


titten#

adverse#adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）


everywhere#adv. 到处
n. 每个地方


excerpt#n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用


eng#abbr. 电子新闻采集（Electronic News Gathering）
n. (Eng)人名；(德、柬、老、匈)恩；(匈、瑞典)恩格


steam#vt. 蒸，散发；用蒸汽处理
n. 蒸汽；精力
vi. 蒸，冒水汽
adj. 蒸汽的


discharge#vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出
n. 排放；卸货；解雇


drinks#n. 饮料，饮品；喝酒（drink复数）


ace#n. 幺点；直接得分的发球；佼佼者；（俚）最好的朋友
adj. 一流的，突出的
vt. 以发球赢一分；击败
int. 太棒了；太好了
n. (Ace)人名；(英)埃斯


voices#n. [声] 声音


acute#adj. 严重的，[医] 急性的；敏锐的；激烈的；尖声的


halloween#n. 万圣节前夕（指十月三十一日夜晚）


climbing#adj. 上升的；攀缘而登的
n. 攀登
v. 爬（climb的ing形式）


stood#v. 站立（stand的过去式和过去分词）


sing#vi. 唱歌；歌颂；鸣叫；呼号
vt. 唱；用诗赞颂；唱着使
n. 演唱；鸣声；呼啸声
n. (Sing)人名；(老、德、泰)辛


tons#n. 吨；大量；许多（ton的复数形式）
n. (Tons)人名；(俄)通斯


perfume#n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气


carol#vi. 欢乐地歌唱；唱耶诞颂歌
n. 颂歌，赞美诗；欢乐之歌
vt. 欢唱；歌颂
n. (Carol)人名；(英)卡罗尔，卡萝尔(女名)


honest#adj. 诚实的，实在的；可靠的；坦率的


albany#n. 奥尔巴尼（美国城市名）


hazardous#adj. 有危险的；冒险的；碰运气的


restore#vt. 恢复；修复；归还
vi. 恢复；还原


stack#n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠
n. (Stack)人名；(英)斯塔克；(德)施塔克


methodology#n. 方法学，方法论


somebody#n. 大人物；重要人物
pron. 有人；某人


sue#vt. 控告；请求
vi. 控告；提出请求
n. (Sue)人名；(日)末(名)；(法)休；(英)休(女子教名Susan、Susanna的昵称)


housewares#n. 家用器皿


reputation#n. 名声，名誉；声望


resistant#adj. 抵抗的，反抗的；顽固的
n. 抵抗者


democrats#n. 民主党员（democrat的复数）；民主主义者


recycling#n. （资源、垃圾的）回收利用
v. 回收；再循环利用（recycle的现在分词）


hang#vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决
n. 悬挂；暂停，中止
n. (Hang)人名；(罗)汉格；(东南亚国家华语)康；(老)汉；(柬)韩(用于名字第一节)，杭


gbp#abbr. 英磅（Great Britain Pound）；增益带宽乘积


curve#n. 曲线；弯曲；曲线球；曲线图表
vt. 弯；使弯曲
vi. 成曲形
adj. 弯曲的；曲线形的


creator#n. 创造者；创建者


amber#adj. 琥珀色的；琥珀制的
n. 琥珀；琥珀色
vt. 使呈琥珀色


qualifications#n. 资格证书；任职资格；职位要求；限定性条件（qualification的复数形式）


museums#n. 博物馆（museum的复数形式）


coding#n. 译码
v. 把…编码（code的ing形式）


slideshow#n. 幻灯片，幻灯片放映，播放幻灯片方式


tracker#n. 拉纤者，纤夫；追踪系统，[自] 跟踪装置；追踪者


